Wall time,Step,Value
1553027660.1513855,42,191.77008056640625
1553027660.5707672,45,227.6146240234375
1553027664.098986,71,239.7011260986328
1553027667.2808774,94,223.2392578125
1553027676.06586,158,291.0301513671875
1553027677.2809641,167,244.34234619140625
1553027685.8597598,229,258.67608642578125
1553027686.5393653,234,268.9592590332031
1553027689.4612038,255,258.46221923828125
1553027692.1386368,273,279.12469482421875
1553027696.9940493,308,232.46817016601562
1553027697.2622924,310,232.78558349609375
1553027698.3562868,318,265.7529296875
1553027712.4321976,421,241.43862915039062
1553027717.7068417,460,291.0597229003906
1553027719.6075842,474,260.1939392089844
1553027728.0735722,536,264.295654296875
1553027733.9807518,579,221.25584411621094
1553027734.9311244,586,271.0404357910156
1553027741.4578035,634,275.05377197265625
1553027743.254501,647,274.8370056152344
1553027746.6155558,671,236.489013671875
1553027752.7191012,714,260.493408203125
1553027753.8301108,722,269.0537109375
1553027760.8454852,771,249.1439971923828
1553027762.7532198,785,271.50360107421875
1553027765.0893416,802,278.0811767578125
1553027765.9040818,808,245.79957580566406
1553027769.7155457,836,239.4948272705078
1553027788.2236505,971,253.01516723632812
1553027794.0919824,1014,252.77072143554688
1553027801.1058402,1066,227.9956512451172
1553027806.263527,1104,229.01913452148438
1553027816.5648043,1180,229.17495727539062
1553027827.589823,1261,243.23788452148438
1553027835.0866363,1316,257.5888671875
1553027835.4910026,1319,237.35659790039062
1553027837.377717,1333,229.8158721923828
1553027837.915206,1337,225.92884826660156
1553027844.425121,1385,224.4799346923828
1553027845.3669002,1392,228.29806518554688
1553027851.3483365,1436,204.13272094726562
1553027855.3925178,1466,207.97210693359375
1553027863.303707,1523,211.5846710205078
1553027867.4734957,1552,224.90211486816406
1553027869.6985183,1568,197.9283447265625
1553027871.8574796,1584,225.99203491210938
1553027879.6976073,1640,177.6405792236328
1553027886.609522,1691,222.04718017578125
1553027889.069758,1709,197.9152374267578
1553027890.2988746,1718,194.90362548828125
1553027892.47285,1734,191.3157196044922
1553027892.8822224,1737,211.14674377441406
1553027898.8426514,1781,201.61920166015625
1553027907.4378576,1844,193.22279357910156
1553027910.4465911,1866,211.56594848632812
1553027910.849958,1869,176.71017456054688
1553027911.9449527,1877,187.55328369140625
1553027917.5910885,1917,168.1196746826172
1553027919.9727356,1934,187.472412109375
1553027921.7488573,1947,195.63330078125
1553027934.0101902,2036,199.3578643798828
1553027942.191749,2096,178.021240234375
1553027954.696098,2187,160.51869201660156
1553027956.4516938,2199,183.8603515625
1553027960.985405,2231,167.59466552734375
1553027961.8712106,2237,180.4403076171875
1553027964.7638383,2257,162.10208129882812
1553027965.4574685,2262,167.9395751953125
1553027971.9193404,2307,159.24322509765625
1553027973.5648363,2319,131.84283447265625
1553027983.5459065,2389,178.061279296875
1553027983.6790395,2390,154.37103271484375
1553027990.2329829,2436,175.0966796875
1553027992.682208,2453,154.89366149902344
1553027992.9514651,2455,170.6993408203125
1553027993.6911244,2460,146.51455688476562
