Wall time,Step,Value
1553027660.1513855,42,-129.00672912597656
1553027660.5697656,45,-139.26406860351562
1553027664.097985,71,-148.51931762695312
1553027667.2808774,94,-148.784423828125
1553027676.0648592,158,-163.76406860351562
1553027677.2809641,167,-156.88064575195312
1553027685.8597598,229,-156.23934936523438
1553027686.5393653,234,-172.58843994140625
1553027689.4612038,255,-157.09115600585938
1553027692.1376355,273,-159.4017333984375
1553027696.9930477,308,-154.0833740234375
1553027697.2622924,310,-152.6302947998047
1553027698.3552854,318,-159.65304565429688
1553027712.4311965,421,-155.7705078125
1553027717.7058406,460,-183.55189514160156
1553027719.6065834,474,-168.36187744140625
1553027728.0735722,536,-166.36199951171875
1553027731.810981,563,-166.3865203857422
1553027733.9807518,579,-154.85525512695312
1553027734.9311244,586,-161.9639129638672
1553027741.4568026,634,-167.63198852539062
1553027743.2535007,647,-166.96861267089844
1553027745.1732452,661,-161.95379638671875
1553027746.6155558,671,-159.525146484375
1553027752.718101,714,-168.5980224609375
1553027753.8301108,722,-167.62106323242188
1553027760.8454852,771,-168.61776733398438
1553027762.7532198,785,-157.15859985351562
1553027765.088341,802,-144.4630126953125
1553027765.9040818,808,-154.08828735351562
1553027769.7155457,836,-157.86151123046875
1553027784.6838226,945,-165.4507598876953
1553027788.222649,971,-165.4388427734375
1553027792.86488,1005,-141.28652954101562
1553027794.0919824,1014,-152.73793029785156
1553027800.6984706,1063,-158.72337341308594
1553027801.1058402,1066,-149.7896728515625
1553027806.263527,1104,-149.51504516601562
1553027816.5648043,1180,-151.00843811035156
1553027827.5888221,1261,-152.24661254882812
1553027835.0866363,1316,-142.65248107910156
1553027835.4900022,1319,-148.72894287109375
1553027837.377717,1333,-139.59017944335938
1553027837.9142046,1337,-136.00473022460938
1553027844.4241207,1385,-125.8205795288086
1553027845.3669002,1392,-138.58914184570312
1553027850.0051281,1426,-133.7036895751953
1553027851.3483365,1436,-128.035400390625
1553027855.3925178,1466,-137.64781188964844
1553027863.3027067,1523,-136.650390625
1553027867.4724948,1552,-148.32785034179688
1553027869.6975172,1568,-131.97344970703125
1553027871.8564787,1584,-135.5604248046875
1553027879.6966064,1640,-120.51166534423828
1553027886.609522,1691,-138.97169494628906
1553027889.0687578,1709,-125.3360824584961
1553027890.2978747,1718,-131.09127807617188
1553027892.1905937,1732,-129.70928955078125
1553027892.47285,1734,-127.98483276367188
1553027892.8822224,1737,-128.0851287841797
1553027898.8416505,1781,-110.4095687866211
1553027907.4368563,1844,-120.21713256835938
1553027908.6649728,1853,-124.98453521728516
1553027910.445591,1866,-131.7294921875
1553027910.849958,1869,-120.27345275878906
1553027911.9439528,1877,-116.23015594482422
1553027917.590088,1917,-104.53983306884766
1553027919.9727356,1934,-122.22346496582031
1553027921.7488573,1947,-131.77194213867188
1553027929.2801204,2001,-122.29644775390625
1553027934.0101902,2036,-120.84915161132812
1553027939.6215014,2077,-108.79058074951172
1553027942.1907349,2096,-114.80723571777344
1553027954.6950982,2187,-100.71703338623047
1553027956.4516938,2199,-109.19869995117188
1553027958.2048788,2211,-107.48124694824219
1553027960.9844043,2231,-101.42955017089844
1553027961.8702123,2237,-111.79324340820312
1553027964.7638383,2257,-110.57645416259766
1553027965.4574685,2262,-112.17709350585938
1553027971.9193404,2307,-103.49276733398438
1553027973.5648363,2319,-93.04400634765625
1553027978.6064172,2354,-108.10409545898438
1553027983.5449047,2389,-112.70992279052734
1553027983.6790395,2390,-101.90251159667969
1553027990.231981,2436,-114.59724426269531
1553027992.6812067,2453,-104.42870330810547
1553027992.9504642,2455,-104.39545440673828
1553027993.6901233,2460,-100.44869232177734
1553027997.1842988,2485,-107.99501037597656
1553027997.334435,2486,-105.20101928710938
1553027999.1620965,2498,-110.81794738769531
1553027999.8947625,2503,-97.81450653076172
1553028004.1316118,2532,-76.62895202636719
1553028006.2995842,2547,-70.68463134765625
1553028007.1633663,2553,-63.34086608886719
1553028026.5322828,2685,-32.54022979736328
1553028034.5548306,2740,-24.368194580078125
1553028036.5396347,2754,-30.017396926879883
1553028041.4711158,2789,-22.815792083740234
1553028056.6146863,2896,-16.405479431152344
1553028066.5830717,2967,-14.47477912902832
1553028072.7666907,3011,-11.426559448242188
1553028076.6021755,3038,-13.731328964233398
1553028077.0315788,3041,-11.400883674621582
1553028085.1788986,3099,-12.476312637329102
1553028093.9979913,3161,-8.551643371582031
1553028100.8512185,3196,-7.965521812438965
1553028105.556482,3230,-11.98262882232666
1553028107.5232687,3244,-12.805269241333008
1553028107.8135328,3246,-5.574524879455566
1553028107.9466531,3247,-8.193414688110352
1553028116.282241,3305,-8.641410827636719
1553028130.7210376,3408,-9.207544326782227
1553028136.376176,3449,-10.613216400146484
1553028140.7751873,3480,-9.246492385864258
1553028157.7747388,3600,-10.213406562805176
1553028160.2686336,3618,-8.769506454467773
1553028160.5338745,3620,-9.074451446533203
