Wall time,Step,Value
1553000412.9933984,42,128.3311309814453
1553000413.893541,45,88.88036346435547
1553000421.8073452,71,118.26716613769531
1553000429.0791216,94,100.0635986328125
1553000451.5275078,167,148.63760375976562
1553000470.3949165,229,119.59619903564453
1553000471.926049,234,121.38742065429688
1553000478.2946978,255,150.85284423828125
1553000483.7919807,273,116.42940521240234
1553000494.383013,308,134.4875946044922
1553000494.9854534,310,156.02395629882812
1553000497.3699155,318,105.5449447631836
1553000544.5506482,474,159.1810302734375
1553000563.5814989,536,88.30107879638672
1553000576.6903126,579,100.6338119506836
1553000578.9239202,586,143.27210998535156
1553000593.6277351,634,132.89476013183594
1553000597.5261037,647,100.0411376953125
1553000604.6325724,671,117.74015808105469
1553000617.6184702,714,130.3684539794922
1553000620.0217228,722,152.00253295898438
1553000638.924611,785,105.23723602294922
1553000644.139893,802,87.6696548461914
1553000646.0433896,808,110.29617309570312
1553000654.7880726,836,141.036865234375
1553000696.0929713,971,115.28155517578125
1553000709.6540172,1014,97.92002868652344
1553000725.5078561,1066,117.20108032226562
1553000737.1129837,1104,85.93145751953125
1553000759.9522326,1180,107.85734558105469
1553000784.5116186,1261,79.68095397949219
1553000801.1684155,1316,67.99815368652344
1553000802.0827434,1319,55.504486083984375
1553000806.4006188,1333,73.99755859375
1553000807.6923716,1337,60.424774169921875
1553000822.4261951,1385,60.910552978515625
1553000824.5068383,1392,75.77217864990234
1553000837.6407542,1436,62.98078536987305
1553000846.5112555,1466,57.53596496582031
1553000864.167168,1523,62.40028381347656
1553000872.8610222,1552,49.379127502441406
1553000877.643095,1568,47.2543830871582
1553000882.3666036,1584,67.50129699707031
1553000915.0475018,1691,52.23759460449219
1553000923.324771,1718,58.20747375488281
1553000928.2742324,1734,48.69231033325195
1553000929.158218,1737,46.62839889526367
1553000942.5755992,1781,48.9552116394043
1553000962.025866,1844,46.97161865234375
1553000968.6957703,1866,39.428672790527344
1553000972.0527265,1877,48.93235778808594
1553000984.363025,1917,43.83460998535156
1553000989.3975577,1934,54.57563781738281
1553000993.2231803,1947,49.11256790161133
1553001019.7596412,2036,36.45829772949219
1553001037.5018387,2096,39.70306396484375
1553001064.8101664,2187,33.97001647949219
1553001068.3773184,2199,38.309532165527344
1553001078.0281663,2231,37.028594970703125
1553001079.830624,2237,40.05412292480469
1553001087.5639513,2262,31.060771942138672
1553001101.55187,2307,32.67256164550781
1553001126.9587672,2389,36.45880889892578
1553001141.715435,2436,29.129547119140625
1553001147.056175,2453,26.655349731445312
1553001147.7102768,2455,36.5347900390625
1553001149.2152898,2460,26.573326110839844
1553001156.9205816,2485,36.40299987792969
1553001157.2322214,2486,33.560386657714844
1553001160.848966,2498,32.20533752441406
1553001162.4277418,2503,28.69095230102539
1553001171.7196229,2532,15.997977256774902
1553001176.492434,2547,15.016529083251953
1553001178.4329872,2553,17.708972930908203
1553001220.95905,2685,7.461515426635742
1553001239.0670161,2740,7.617518424987793
1553001311.4329197,2967,5.110385894775391
1553001334.2211456,3038,3.685476779937744
1553001335.2155156,3041,2.7647547721862793
1553001353.7517421,3099,4.131482124328613
1553001373.3627286,3161,2.0901880264282227
1553001396.011219,3230,3.2006165981292725
1553001400.2020276,3244,2.293114185333252
1553001400.8576229,3246,2.416370391845703
1553001401.1508899,3247,1.5794868469238281
1553001418.631524,3305,1.781611442565918
1553001470.572083,3480,2.216668128967285
1553001511.8476176,3618,1.3217113018035889
1553001512.4081275,3620,1.7233949899673462
1553001527.407916,3670,1.512716293334961
1553001548.801544,3741,2.034179210662842
1553001564.24413,3793,1.3737040758132935
1553001570.497841,3814,1.3994133472442627
1553001572.6497967,3821,1.6826739311218262
1553001604.5780873,3928,1.293599009513855
1553001613.0057456,3956,1.5469424724578857
1553001621.317298,3984,2.2006068229675293
1553001636.8804405,4036,1.5493428707122803
1553001655.420338,4098,1.3114478588104248
1553001684.6751575,4196,1.8692436218261719
1553001693.940084,4227,0.7076925039291382
1553001695.451457,4232,0.8895454406738281
1553001720.9060657,4317,1.2260379791259766
