Wall time,Step,Value
1553000412.9933984,42,-171.63839721679688
1553000413.89254,45,-165.8666229248047
1553000421.8073452,71,-190.61143493652344
1553000429.0791216,94,-191.4479217529297
1553000451.5265076,167,-183.08570861816406
1553000470.3939161,229,-186.113037109375
1553000471.9250474,234,-180.19189453125
1553000478.2936974,255,-192.0032196044922
1553000483.7919807,273,-197.4819793701172
1553000494.382012,308,-180.8946533203125
1553000494.9854534,310,-200.60275268554688
1553000497.368914,318,-174.38758850097656
1553000544.5496476,474,-186.03994750976562
1553000563.5804973,536,-186.13247680664062
1553000576.6903126,579,-185.16932678222656
1553000578.9239202,586,-185.59579467773438
1553000593.6267343,634,-187.94886779785156
1553000597.5261037,647,-168.87222290039062
1553000604.6325724,671,-190.73426818847656
1553000617.617469,714,-188.83856201171875
1553000620.0217228,722,-171.64328002929688
1553000638.924611,785,-179.02105712890625
1553000644.139893,802,-170.62721252441406
1553000646.0423887,808,-169.1428680419922
1553000654.7880726,836,-159.79054260253906
1553000696.0919695,971,-176.15280151367188
1553000709.6540172,1014,-140.94265747070312
1553000725.5068552,1066,-154.28814697265625
1553000737.1129837,1104,-140.1256103515625
1553000759.9522326,1180,-147.1021270751953
1553000784.5116186,1261,-125.13524627685547
1553000801.1684155,1316,-113.98037719726562
1553000802.0817423,1319,-118.6877212524414
1553000806.399618,1333,-112.9393310546875
1553000807.6923716,1337,-130.41143798828125
1553000822.4261951,1385,-124.55525207519531
1553000824.5068383,1392,-134.80624389648438
1553000837.6407542,1436,-119.81385803222656
1553000846.5112555,1466,-122.97117614746094
1553000864.167168,1523,-100.49224090576172
1553000872.8610222,1552,-104.75871276855469
1553000877.643095,1568,-108.18466186523438
1553000882.3666036,1584,-97.32530212402344
1553000915.0475018,1691,-102.95227813720703
1553000923.324771,1718,-88.0494384765625
1553000928.2742324,1734,-103.59159088134766
1553000929.1572168,1737,-94.24017333984375
1553000942.5745993,1781,-98.8337631225586
1553000962.0248654,1844,-88.60643005371094
1553000968.6957703,1866,-87.6947021484375
1553000972.0517263,1877,-87.68602752685547
1553000984.363025,1917,-86.81634521484375
1553000989.3965557,1934,-85.0152587890625
1553000993.2221787,1947,-78.78865814208984
1553001019.7596412,2036,-79.60550689697266
1553001037.5018387,2096,-83.79899597167969
1553001064.8091645,2187,-75.9417724609375
1553001068.3773184,2199,-77.73133850097656
1553001078.0281663,2231,-74.33426666259766
1553001079.8296227,2237,-74.29862976074219
1553001087.5639513,2262,-77.54888153076172
1553001101.55187,2307,-71.7305679321289
1553001126.9587672,2389,-67.18716430664062
1553001141.715435,2436,-64.39041900634766
1553001147.056175,2453,-65.88262939453125
1553001147.7092757,2455,-65.6345443725586
1553001149.2142894,2460,-70.05885314941406
1553001156.9205816,2485,-66.13328552246094
1553001157.2322214,2486,-57.67250442504883
1553001160.8479645,2498,-68.14471435546875
1553001162.4277418,2503,-59.212886810302734
1553001171.7186217,2532,-44.90760040283203
1553001176.492434,2547,-40.21650314331055
1553001178.4329872,2553,-39.9829216003418
1553001220.958047,2685,-17.703784942626953
1553001239.066015,2740,-19.43311309814453
1553001311.4329197,2967,-17.489084243774414
1553001334.2211456,3038,-16.90816879272461
1553001335.214516,3041,-13.897130966186523
1553001353.7517421,3099,-14.877179145812988
1553001373.3617275,3161,-11.654997825622559
1553001396.011219,3230,-14.731586456298828
1553001400.2020276,3244,-14.108787536621094
1553001400.856623,3246,-8.812150001525879
1553001401.1508899,3247,-11.857110977172852
1553001418.631524,3305,-12.669002532958984
1553001470.572083,3480,-11.052530288696289
1553001511.8476176,3618,-10.27318000793457
1553001512.4081275,3620,-11.223777770996094
1553001527.4069147,3670,-9.166743278503418
1553001548.801544,3741,-7.3722076416015625
1553001564.24413,3793,-9.435260772705078
1553001570.497841,3814,-10.096260070800781
1553001572.6487956,3821,-6.328458309173584
1553001604.5780873,3928,-6.861149311065674
1553001613.0057456,3956,-2.012753963470459
1553001621.317298,3984,-10.662086486816406
1553001636.8804405,4036,-4.890228748321533
1553001655.420338,4098,-7.90208625793457
1553001684.6741571,4196,-6.079564094543457
1553001693.940084,4227,-7.790953636169434
1553001695.4504566,4232,-8.359952926635742
1553001720.9050648,4317,-7.611675262451172
1553001721.4795868,4319,-8.217443466186523
