Wall time,Step,Value
1553017342.876566,18,4.143051624298096
1553017357.7670407,42,7.380213260650635
1553017359.620725,45,4.742023944854736
1553017366.4979615,56,6.068929195404053
1553017375.806433,71,7.210245609283447
1553017390.4677424,94,6.199005126953125
1553017428.3329117,155,6.422579288482666
1553017430.2136211,158,8.130911827087402
1553017435.721627,167,6.429037094116211
1553017473.7643979,229,5.790342807769775
1553017476.808352,234,5.660658836364746
1553017489.6737814,255,8.41356086730957
1553017492.7185483,260,7.328736305236816
1553017496.9977224,267,6.969516277313232
1553017500.7198117,273,8.161736488342285
1553017522.3079839,308,5.505767822265625
1553017523.5230882,310,5.916573524475098
1553017528.3995147,318,6.00054931640625
1553017546.132651,347,6.525077819824219
1553017558.3370447,367,8.147455215454102
1553017591.5156078,421,6.295792579650879
1553017592.1441784,422,7.183846473693848
1553017604.4176333,442,5.408214092254639
1553017615.4025338,460,6.646936416625977
1553017623.9354465,474,5.660595417022705
1553017662.0136795,536,5.943358421325684
1553017678.5439084,563,5.674912452697754
1553017688.3028004,579,6.41348934173584
1553017692.5643804,586,7.609434604644775
1553017693.1719325,587,6.760799407958984
1553017713.5178788,620,8.57254409790039
1553017722.050632,634,7.5302863121032715
1553017726.923062,642,7.3008599281311035
1553017729.9959314,647,7.617981910705566
1553017731.209034,649,7.540612697601318
1553017738.5687218,661,7.743974208831787
1553017744.6442425,671,5.722580432891846
1553017771.021935,714,6.467371463775635
1553017775.9003682,722,5.743802547454834
1553017780.790812,730,5.088176250457764
1553017796.6095598,756,6.913347244262695
1553017802.0915282,765,6.679184436798096
1553017804.520736,769,5.3541412353515625
1553017805.7538798,771,6.712636470794678
1553017814.344591,785,6.026905536651611
1553017815.5777106,787,7.313486099243164
1553017819.8656278,794,7.237034797668457
1553017824.9217348,802,7.233029842376709
1553017828.5916042,808,6.53385066986084
1553017845.6791503,836,5.370779991149902
1553017890.3953087,909,6.96073579788208
1553017910.5821173,942,5.65928316116333
1553017912.4026275,945,7.274464130401611
1553017922.7676508,962,6.944838523864746
1553017928.2521112,971,5.294147968292236
1553017928.885687,972,6.748100280761719
1553017932.5290782,978,6.756344318389893
1553017936.1800544,984,6.557382583618164
1553017947.3172972,1002,5.264737606048584
1553017949.1559548,1005,6.063398361206055
1553017954.6339457,1014,6.009067058563232
1553017984.5607293,1063,5.852072238922119
1553017986.3833866,1066,6.067224979400635
1553017990.048533,1072,6.001328468322754
1553017993.6942968,1078,6.532347202301025
1553018002.8584437,1093,6.500888347625732
1553018006.514995,1099,7.091001510620117
1553018009.7046528,1104,5.447727680206299
1553018041.395637,1156,6.537922382354736
1553018044.4261003,1161,5.327508449554443
1553018045.0336525,1162,6.850175857543945
1553018056.052004,1180,5.104874134063721
